name,link,genre,ground_truth
Cosmic PIANO,https://www.youtube.com/c/cosmicpiano,Anime,True
zzz - Anime on Piano,https://www.youtube.com/channel/UCXbCo1dYKNceoxUC7rKMjZw,Anime,True
PianoDeuss,https://www.youtube.com/c/PianoDeuss,Anime,False
Animenz,https://www.youtube.com/channel/UCyW-leqPXUunrXXxFjpZ7VA,Anime,False
Fonzi M,https://www.youtube.com/channel/UCpQUBJrRfcpWLro4Oziff7Q,Anime,False
AnimeMidi,https://www.youtube.com/channel/UC9nPjOh-1V4pnRlZYpJeoBg,Kpop,True
FreePianoTutorials,https://www.youtube.com/c/FreePianoTutorialsPdfMidi,Kpop,True
Jova Musique,https://www.youtube.com/c/JovaMusique,Kpop,False
DooPiano,https://www.youtube.com/channel/UCNoN7dpdAlglcQWUn2pFjDA,Kpop,False
MusicNotesKada,https://www.musicnoteskada.com/,Indian,True
Aakash Desai,https://www.youtube.com/channel/UC0AKnJ_wbJMqbu5pN1nDxOw,Indian,False
OnlinePianoTutorials,https://www.youtube.com/channel/UCJJ3aB_knsWdZVfKbdQAMXw,Indian,False
AtinPiano,https://www.youtube.com/channel/UCkPRBxO9SbNE-2h0XXKz-jg,Game,False
Marioverehrer2,https://www.youtube.com/channel/Marioverehrer2,Game,False
